,pixel_count1
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,1.0
31,7.0
32,24.0
33,83.0
34,249.0
35,262.0
36,334.0
37,436.0
38,500.0
39,596.0
40,864.0
41,0.0
42,664.0
43,739.0
44,871.0
45,921.0
46,1286.0
47,1914.0
48,2577.0
49,3535.0
50,5734.0
51,0.0
52,6292.0
53,6769.0
54,7677.0
55,6719.0
56,6606.0
57,7425.0
58,6179.0
59,6304.0
60,7672.0
61,7430.0
62,7837.0
63,0.0
64,9057.0
65,7967.0
66,8491.0
67,10915.0
68,8924.0
69,9022.0
70,11159.0
71,9331.0
72,9666.0
73,0.0
74,10114.0
75,6589.0
76,6076.0
77,6017.0
78,4427.0
79,4066.0
80,4037.0
81,3345.0
82,3714.0
83,4356.0
84,4296.0
85,0.0
86,4594.0
87,5045.0
88,3955.0
89,3936.0
90,4401.0
91,3517.0
92,3050.0
93,3146.0
94,2746.0
95,0.0
96,2771.0
97,3092.0
98,2869.0
99,2823.0
100,2822.0
101,2425.0
102,2429.0
103,2421.0
104,2175.0
105,2255.0
106,2340.0
107,0.0
108,2055.0
109,2274.0
110,2367.0
111,2052.0
112,1984.0
113,1964.0
114,2050.0
115,2177.0
116,2605.0
117,0.0
118,2282.0
119,2032.0
120,1870.0
121,1769.0
122,1821.0
123,1604.0
124,1551.0
125,1441.0
126,1524.0
127,1553.0
128,1522.0
129,0.0
130,1557.0
131,1549.0
132,1669.0
133,1726.0
134,1759.0
135,1832.0
136,1981.0
137,1877.0
138,1971.0
139,0.0
140,1948.0
141,1906.0
142,1969.0
143,1913.0
144,1746.0
145,1665.0
146,1866.0
147,1696.0
148,1748.0
149,1708.0
150,1587.0
151,0.0
152,1527.0
153,1656.0
154,1507.0
155,1455.0
156,1424.0
157,1379.0
158,1415.0
159,1434.0
160,1455.0
161,0.0
162,1413.0
163,1468.0
164,1458.0
165,1507.0
166,1445.0
167,1498.0
168,1440.0
169,1424.0
170,1383.0
171,1354.0
172,1382.0
173,0.0
174,1404.0
175,1462.0
176,1483.0
177,1369.0
178,1413.0
179,1442.0
180,1386.0
181,1430.0
182,1440.0
183,0.0
184,1373.0
185,1533.0
186,1455.0
187,1438.0
188,1546.0
189,1613.0
190,1579.0
191,1507.0
192,1658.0
193,1610.0
194,1729.0
195,0.0
196,1611.0
197,1447.0
198,1473.0
199,1470.0
200,1426.0
201,1547.0
202,1703.0
203,1548.0
204,1450.0
205,0.0
206,1418.0
207,1307.0
208,1412.0
209,1558.0
210,1403.0
211,1408.0
212,1399.0
213,1322.0
214,1343.0
215,1517.0
216,1295.0
217,0.0
218,1349.0
219,1297.0
220,1200.0
221,1055.0
222,909.0
223,768.0
224,758.0
225,722.0
226,723.0
227,0.0
228,712.0
229,662.0
230,656.0
231,668.0
232,749.0
233,608.0
234,597.0
235,351.0
236,263.0
237,297.0
238,201.0
239,0.0
240,180.0
241,128.0
242,77.0
243,31.0
244,22.0
245,6.0
246,1.0
247,1.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
